id	country	documents	citations	total link strength
1	(nitep)	1	12	12
2	afghanistan	12	167	40
3	algeria	22	2672	129
4	andorra	2	77	45
5	antigua and barbuda	2	1	7
6	argentina	77	22101	1154
7	armenia	11	726	216
8	army medical university	1	16	17
9	aruba	1	2	9
10	asian development bank	1	101	9
11	australia	693	44345	5988
12	austria	76	3959	960
13	azerbaijan	6	536	49
14	bahamas	1	27	5
15	bahrain	4	229	51
16	bangladesh	151	5097	1219
17	belarus	7	337	73
18	belgium	183	14781	1928
19	belize	2	82	33
20	benin	5	4513	60
21	bhutan	12	262	118
22	bolivia	1	23	2
23	bosnia and herzegovina	3	70	44
24	brazil	185	23815	2701
25	brunei darussalam	33	823	496
26	bulgaria	19	8725	269
27	burkina faso	2	20	10
28	burundi	1	47	4
29	cambodia	115	6132	1028
30	cameroon	6	3031	76
31	canada	324	39065	3515
32	caribbean	1	0	4
33	center	1	458	24
34	chile	82	5190	978
35	china	1095	63743	8130
36	city	1	26	12
37	collection	1	12	3
38	colombia	57	4138	702
39	committee	1	3	9
40	congo	2	86	27
41	costa rica	10	528	157
42	cote d'ivoire	1	76	21
43	croatia	58	5119	952
44	cuba	6	481	80
45	cyprus	10	1006	143
46	czech republic	122	14975	1602
47	democratic republic congo	8	2512	79
48	denmark	73	11222	768
49	department	1	458	24
50	deve-mairie de paris	1	162	7
51	diseases	1	3	4
52	dominican republic	1	13	16
53	ecuador	12	1018	150
54	egypt	207	9971	1175
55	el salvador	2	131	4
56	electro-communications	1	2	2
57	estonia	24	5514	331
58	ethiopia	22	3129	208
59	fauna & amp	1	2	6
60	fiji	12	1278	145
61	finland	55	9614	733
62	france	487	35722	4678
63	french guiana	1	156	21
64	gambia	4	766	79
65	georgia	5	288	63
66	germany	516	45214	4993
67	ghana	20	1794	140
68	greece	49	5513	604
69	guam	1	6	4
70	guatemala	2	35	14
71	haiti	1	54	22
72	health management	1	458	24
73	honduras	3	27	37
74	hong kong	281	10735	3290
75	http://www.onlineresearchclub.org/	1	2	6
76	hungary	126	12893	1305
77	iceland	4	18	69
78	india	573	35409	5020
79	indonesia	462	14219	3658
80	infection	1	3	4
81	iran	126	12771	1079
82	iraq	23	747	170
83	ireland	70	6065	725
84	isglobal	1	26	12
85	israel	42	1900	622
86	italy	347	34033	4087
87	jamaica	2	349	19
88	japan	10395	279537	25746
89	jordan	27	656	200
90	kazakhstan	20	305	234
91	kenya	32	1207	310
92	kuwait	23	2706	222
93	kyrgyzstan	5	426	68
94	laboratory	1	3	9
95	laos	66	1574	380
96	latvia	6	803	107
97	lebanon	18	3983	180
98	lesotho	1	35	15
99	libya	12	132	55
100	lithuania	10	205	132
101	luxembourg	15	629	70
102	macao	9	161	130
103	madagascar	7	176	54
104	malawi	11	390	107
105	malaysia	495	26027	4326
106	maldives	1	21	7
107	mauritius	2	156	10
108	mexico	88	14289	1340
109	micronesia	1	0	2
110	moldova	5	1117	88
111	mongolia	50	1209	520
112	morocco	11	1769	132
113	mozambique	2	54	13
114	myanmar	92	2054	817
115	namibia	3	45	36
116	nepal	74	2998	786
117	netherlands	231	28237	2385
118	nevis	1	31	11
119	new caledonia	7	468	86
120	new zealand	141	12868	1266
121	nhfp einstein fellow	1	3	16
122	nicaragua	3	62	38
123	niger	1	12	8
124	nigeria	29	1763	331
125	north macedonia	5	123	82
126	northern mariana islands	1	10	2
127	norway	140	10836	1504
128	oman	10	202	128
129	pakistan	110	5251	1191
130	palau	1	18	16
131	palestine	4	28	29
132	panama	2	1543	33
133	papua new guinea	15	1132	216
134	part)	3	44	14
135	peru	17	3372	281
136	philippines	356	17869	3059
137	poland	161	18770	2035
138	portugal	77	9020	1172
139	puerto rico	2	187	14
140	qatar	11	144	127
141	romania	66	4352	898
142	russian federation	259	24760	2316
143	rwanda	2	28	16
144	saint helena	1	0	16
145	samoa	3	896	42
146	saudi arabia	140	10520	1173
147	sciences	1	458	24
148	senegal	2	55	31
149	serbia	15	5692	216
150	singapore	363	14979	3851
151	slovakia	13	7264	201
152	slovenia	72	10270	1227
153	solomon islands	7	1050	107
154	south africa	73	5174	1048
155	south korea	824	37271	6675
156	spain	397	36176	4573
157	sri lanka	94	6105	975
158	sudan	25	442	152
159	suriname	2	114	29
160	sweden	142	22884	1586
161	switzerland	198	24866	2158
162	syrian arab republic	14	328	88
163	taiwan	597	33514	5102
164	tajikistan	1	12	17
165	tanzania	10	164	81
166	technical staff	1	3	9
167	technology	1	0	3
168	thailand	793	33480	5233
169	timor-leste	2	7	39
170	togo	1	26	5
171	tonga	1	45	16
172	tunisia	15	155	106
173	turkey	69	2655	809
174	uganda	15	877	150
175	ukraine	24	1107	361
176	united arab emirates	59	1812	851
177	united kingdom	722	62583	6472
178	united states	1160	83335	8533
179	uruguay	6	740	104
180	uzbekistan	5	34	37
181	vanuatu	2	94	31
182	venezuela	3	127	55
183	viet nam	10408	279965	25771
184	vietnam-netherlands economics program	1	4	6
185	vinmec healthcare system	1	26	12
186	work	1	3	2
187	yemen	2	56	14
188	zambia	6	92	39
189	zimbabwe	5	2993	96
