id	keyword	occurrences	total link strength
248	"2,3,7,8 tetrachlorodibenzo para dioxin"	28	718
1006	acquired immune deficiency syndrome	24	863
1174	adaptation	35	569
1346	adolescent	436	12132
1386	adsorption	93	655
1416	adult	1274	30425
1453	adverse event	63	1513
1542	africa	54	1261
1543	africa south of the sahara	41	1454
1572	age	130	3413
1579	age distribution	106	3374
1580	age factors	43	1236
1589	aged	605	16223
1592	"aged, 80 and over"	150	4934
1624	aging	46	1312
1660	agricultural land	30	636
1694	agriculture	88	1298
1766	air pollutant	44	963
1768	air pollutants	36	783
1771	air pollution	74	1587
1853	alanine aminotransferase	31	878
1874	alcohol consumption	38	1225
1917	algorithm	87	1009
1921	algorithms	63	543
1984	all cause mortality	30	943
1995	allele	52	1139
1997	alleles	29	634
2212	alzheimer disease	19	795
2260	amikacin	27	837
2265	amino acid	42	878
2274	amino acid sequence	88	2040
2275	amino acid substitution	53	1369
2307	ammonia	56	752
2384	ampicillin	52	1644
2471	analysis	88	2193
2485	analytic method	28	462
2545	anatomy and histology	44	538
2581	anemia	35	1277
2665	animal	805	14959
2667	animal cell	190	4086
2676	animal experiment	311	6748
2687	animal model	193	4510
2699	animal tissue	224	4881
2703	animalia	93	1374
2704	animals	975	18076
2817	antagonists and inhibitors	27	633
2875	anthropometry	29	694
2883	anti human immunodeficiency virus agent	36	1202
2889	anti-bacterial agents	128	3374
2895	anti-hiv agents	38	1208
2920	antibacterial activity	27	532
2929	antibiotic agent	58	1498
2936	antibiotic resistance	130	3590
2939	antibiotic sensitivity	68	2121
2942	antibiotics	46	798
2956	"antibodies, viral"	51	1443
2969	antibody titer	30	743
3055	antiinfective agent	127	3229
3056	antiinflammatory activity	22	535
3087	antineoplastic activity	36	692
3088	antineoplastic agent	71	1680
3089	antineoplastic agents	25	594
3097	antioxidant	67	1158
3099	antioxidant activity	34	724
3107	antioxidants	61	1009
3125	antiretroviral therapy	41	1266
3148	antiviral agents	27	817
3151	antiviral therapy	19	591
3152	antivirus agent	25	734
3239	apoptosis	57	1126
3296	aquaculture	39	708
3311	aquatic environment	30	750
3345	arabidopsis	45	579
3413	area under the curve	28	602
3501	arsenic	46	924
3590	article	3525	68501
3686	ascorbic acid	26	518
3700	asia	373	7097
3709	"asia, southeastern"	53	1030
3715	asian	98	2349
3717	asian continental ancestry group	56	1375
3742	aspartate aminotransferase	27	762
3809	asthma	30	854
3924	atmospheric pollution	46	758
4001	atrial fibrillation	20	700
4033	attitude to health	31	621
4091	australia	40	809
4171	automutilation	13	782
4187	autopsy	22	662
4235	aves	37	848
4238	avian influenza	42	1173
4243	avian influenza virus	41	1067
4297	azithromycin	23	691
4419	bacteria	79	1400
4420	bacteria (microorganisms)	80	1244
4451	bacterial dna	43	1078
4456	bacterial gene	69	1868
4458	bacterial genome	37	832
4459	bacterial growth	26	606
4477	bacterial protein	43	1091
4478	bacterial proteins	42	1118
4487	bacterial strain	98	2358
4512	bacterium	81	1637
4518	bacterium culture	31	857
4521	bacterium identification	34	900
4522	bacterium isolate	102	2885
4523	bacterium isolation	74	1700
4562	bagg albino mouse	22	676
4621	bangladesh	39	929
4679	base sequence	74	1672
4760	bayes theorem	58	1341
5050	beta lactamase	33	1083
5091	beta-lactamases	29	972
5307	bioaccumulation	54	1200
5318	bioassay	35	554
5338	biochemistry	42	766
5361	biodegradation	29	445
5367	biodiversity	75	607
5447	biological marker	58	1527
5489	biomarkers	42	1105
5491	biomass	111	1277
5555	bioreactor	35	582
5556	bioreactors	36	588
5584	biosynthesis	66	1137
5611	bird disease	23	629
5734	bleeding	30	864
5762	blood	169	4508
5804	blood pressure	25	641
5814	blood sampling	100	2563
5818	blood transfusion	26	662
5870	body height	34	935
5872	body mass	149	3972
5873	body mass index	46	1285
5884	body weight	69	1813
6082	bovine	38	763
6120	brain	39	589
6143	brain hemorrhage	31	985
6149	brain ischemia	24	861
6208	breast cancer	27	1013
6216	breast milk	50	1282
6549	c reactive protein	30	753
6608	cadmium	31	651
6651	calcium	57	1031
6777	cambodia	62	1311
6817	cancer	24	569
6838	cancer incidence	31	1002
6845	cancer mortality	38	1067
6846	cancer patient	32	830
6854	cancer risk	61	1576
6859	cancer staging	48	1190
6863	cancer survival	27	625
7016	carbon	97	721
7040	carbon dioxide	84	383
7096	carbon nuclear magnetic resonance	65	1005
7196	"carcinoma, hepatocellular"	23	725
7241	cardiovascular disease	72	2045
7243	cardiovascular diseases	31	825
7245	cardiovascular mortality	23	677
7321	case control study	65	1671
7327	case report	75	1293
7333	case-control studies	62	1640
7492	cattle	54	986
7513	cause of death	79	2875
7581	cd4 lymphocyte count	49	1543
7583	cd4+ t lymphocyte	26	694
7635	cefotaxime	33	1164
7636	cefoxitin	22	801
7642	ceftazidime	25	920
7646	ceftriaxone	27	845
7670	cell culture	59	1063
7691	cell differentiation	36	710
7716	cell line	54	1205
7717	"cell line, tumor"	54	1112
7746	cell proliferation	70	1419
7775	cell survival	33	737
7786	cell viability	31	706
7806	"cells, cultured"	39	760
8003	cerebrovascular accident	52	1434
8004	cerebrovascular disease	12	578
8211	chemical analysis	66	1056
8222	chemical composition	50	706
8266	chemical oxygen demand	44	736
8295	chemical structure	110	1551
8310	chemically induced	20	622
8318	chemistry	402	7277
8370	chicken	73	1794
8378	chickens	63	1654
8384	child	496	13303
8396	child health	33	846
8411	"child, preschool"	256	7594
8428	china	208	3976
8473	chloramphenicol	40	1280
8570	cholesterol	22	593
8573	cholesterol blood level	24	663
8636	chromium	29	530
8704	chronic disease	24	603
8717	chronic kidney failure	33	1085
8718	chronic liver disease	10	622
8723	chronic obstructive lung disease	30	1201
8819	ciprofloxacin	61	1920
8871	cities	55	1270
8910	city	58	1342
8922	cladistics	26	635
8931	clarithromycin	23	696
8947	classification	242	5083
9016	climate change	155	1210
9052	clinical article	202	4140
9053	clinical assessment	29	681
9065	clinical evaluation	38	915
9067	clinical feature	90	2267
9077	clinical outcome	68	1803
9079	clinical practice	46	930
9091	clinical trial	148	3955
9165	cluster analysis	71	1473
9445	cohort analysis	203	5360
9446	cohort studies	65	1674
9456	coinfection	31	938
9487	colistin	34	1113
9638	combination drug therapy	24	738
9696	communicable disease	27	1001
9698	communicable diseases	19	720
9759	comorbidity	47	1296
9782	comparative study	233	4629
9860	complication	138	3461
10010	computer assisted tomography	63	1283
10032	computer simulation	80	482
10063	concentration (composition)	195	3172
10064	concentration (parameter)	79	1552
10065	concentration (parameters)	83	1873
10182	confidence interval	35	803
10289	consensus	44	624
10410	contamination	42	980
10555	controlled study	1690	35843
10671	copper	62	940
10828	coronavirus disease 2019	114	2567
10848	correlation analysis	33	734
10960	cost of illness	20	702
10980	cotrimoxazole	35	1188
10986	coughing	29	891
11059	covid-19	107	1855
11149	creatinine	37	991
11307	cross-sectional studies	207	4608
11308	cross-sectional study	274	5818
11416	crystal structure	46	385
11856	cytokine	28	677
11872	cytology	75	1123
11897	cytotoxicity	48	928
12030	data analysis	32	687
12160	death	33	795
12184	decapoda (crustacea)	58	559
12223	decision making	78	635
12361	degradation	61	710
12487	demographics	37	881
12488	demography	81	2215
12513	dengue	73	1999
12518	dengue virus	39	960
12553	density functional theory	91	171
12647	depression	44	1082
12791	developing countries	86	1460
12792	developing country	57	1235
12795	developing world	48	587
12860	diabetes mellitus	85	2685
12863	"diabetes mellitus, type 2"	28	678
12884	diagnosis	68	1175
12888	diagnostic accuracy	34	726
12896	diagnostic imaging	66	1189
12902	diagnostic test accuracy study	46	990
12927	diarrhea	92	2984
12935	diastolic blood pressure	26	736
13025	diet	67	1492
13043	dietary intake	37	861
13306	dioxin	73	1752
13315	dioxins	50	1330
13402	disability	40	1353
13409	disability-adjusted life year	67	2204
13411	disabled person	26	1097
13412	disabled persons	24	1038
13474	disease association	89	2237
13476	disease burden	44	1223
13480	disease control	32	641
13481	disease course	37	942
13487	disease exacerbation	32	951
13493	disease model	33	834
13495	"disease models, animal"	35	897
13498	disease outbreaks	40	996
13501	disease progression	20	611
13506	disease severity	129	3419
13513	disease surveillance	35	990
13515	disease transmission	55	1389
13523	diseases	52	975
13758	dna	61	1062
13787	dna extraction	80	2032
13832	dna sequence	140	3326
13858	"dna, bacterial"	38	977
13868	"dna, ribosomal"	33	648
13871	"dna, viral"	26	656
13892	dog	40	946
13897	dogs	38	906
14010	dose response	43	859
14013	"dose-response relationship, drug"	35	713
14023	double blind procedure	27	807
14064	down regulation	43	988
14137	drinking water	49	1035
14173	drought	62	752
14178	droughts	31	535
14233	drug effect	219	4739
14234	drug effects	93	2419
14235	drug efficacy	93	2477
14253	drug isolation	102	1538
14259	drug mechanism	25	537
14280	"drug resistance, bacterial"	56	1655
14283	"drug resistance, multiple, bacterial"	21	677
14286	"drug resistance, viral"	19	615
14290	drug safety	54	1382
14291	drug screening	39	762
14301	drug structure	84	1205
14308	drug therapy	53	1492
14309	"drug therapy, combination"	22	641
14314	drug use	25	802
14317	drug withdrawal	18	612
14385	duck	28	683
14425	dust	48	967
14570	dyspnea	29	851
14788	economics	66	905
14794	ecosystem	60	773
14864	education	56	946
14886	educational status	38	1013
14957	effluent	29	533
14960	effluents	37	612
15510	electrospray mass spectrometry	41	637
16127	environmental exposure	112	3116
16128	environmental factor	39	543
16135	environmental impact	53	678
16155	environmental monitoring	185	3882
16163	environmental pollutants	62	1595
16196	environmental temperature	34	571
16216	enzyme activity	94	1826
16230	enzyme inhibition	47	808
16235	enzyme linked immunosorbent assay	146	3558
16252	enzyme-linked immunosorbent assay	47	1196
16254	enzymology	59	1248
16285	epidemic	88	2199
16297	epidemiology	271	6696
16300	epidermal growth factor receptor	24	646
16492	erythromycin	27	787
16501	escherichia coli	135	3071
16571	estimated glomerular filtration rate	26	692
16655	ethnicity	33	727
16677	etiology	31	707
16734	eurasia	111	1439
16736	europe	55	1151
16782	evaluation study	29	592
16989	experimental study	52	476
17025	exposure	33	663
17305	far east	57	808
17366	fatigue	29	777
17388	fatty acid	29	557
17403	fatty acids	38	569
17509	feces	57	1419
17510	feces analysis	38	1053
17567	female	1669	38953
17695	fertility	36	966
17738	fever	62	1813
18055	fish	67	1086
18085	fishes	27	611
18119	flame retardant	27	581
18120	flame retardants	29	601
18242	flooding	50	406
18247	floods	61	340
18266	flow cytometry	39	965
18498	follow up	208	5332
18499	follow-up studies	43	1196
18520	food contamination	40	1074
18536	food intake	33	769
18608	forecasting	115	736
18653	forestry	68	315
18742	fourier transform infrared spectroscopy	81	493
18925	fresh water	33	639
19351	gamma interferon	39	1040
19420	gas chromatography	55	854
19617	gender	33	747
19627	gene	120	2876
19630	gene amplification	46	1214
19635	gene deletion	40	775
19644	gene expression	168	3230
19649	gene expression profiling	35	699
19650	gene expression regulation	112	2046
19656	"gene expression regulation, plant"	54	813
19661	gene frequency	68	1583
19664	gene identification	33	846
19679	gene locus	31	759
19682	gene mutation	100	2478
19696	gene sequence	171	4103
19750	genes	37	644
19773	genetic analysis	88	1925
19774	genetic association	51	1259
19820	genetic polymorphism	37	861
19824	genetic predisposition to disease	27	620
19828	genetic reassortment	25	685
19845	genetic susceptibility	23	612
19853	genetic variability	127	3019
19854	genetic variation	100	1972
19859	genetics	773	16274
19872	genome	41	687
19873	genome analysis	28	596
19889	"genome, viral"	49	1161
19892	genomic dna	39	984
19901	genomics	38	633
19904	genotype	261	6561
19910	gentamicin	42	1382
19931	geographic distribution	126	3295
19947	geography	55	1414
19951	geologic sediments	29	640
20080	gestational age	26	683
20207	global burden of disease	116	3743
20217	global disease burden	138	4290
20220	global health	169	4855
20298	glucose	61	1299
20303	glucose blood level	49	1406
20525	government	35	589
20879	ground water	34	713
20891	groundwater	70	743
20931	groups by age	38	1254
20968	"growth, development and aging"	134	2091
21189	hanoi	110	1604
21201	haplotype	47	1053
21316	headache	28	882
21320	health	39	1093
21330	health care access	30	723
21343	health care personnel	58	1129
21345	health care policy	33	844
21368	health hazard	60	1532
21376	health insurance	30	667
21395	health risk	62	1540
21399	health risks	43	854
21406	health status	37	890
21411	health survey	127	2896
21465	heart failure	24	726
21470	heart infarction	27	758
21595	heavy metal	34	569
21645	helicobacter infection	51	1365
21646	helicobacter infections	44	1251
21647	helicobacter pylori	52	1419
21674	"hemagglutinin glycoproteins, influenza virus"	21	584
21721	hemoglobin	28	639
21739	hemolytic anemia	11	654
21771	hepatectomy	30	826
21787	hepatitis b	51	1570
21799	hepatitis b virus	29	749
21808	hepatitis c	39	1482
21972	heterozygote	25	634
22068	high density lipoprotein cholesterol	27	806
22106	high income country	43	1096
22130	high performance liquid chromatography	73	1351
22165	high risk population	33	872
