id	organization	documents	citations	total link strength
5	"10-80 division, hanoi medical university, hanoi, viet nam"	11	175	54
8	"108 military central hospital, hanoi, viet nam"	5	106	25
16	"2825-7 huis ten bosch, nagasaki international university, sasebo, japan"	8	176	7
39	"a.n. severtsov institute of ecology and evolution russian academy of sciences, moscow, russian federation"	6	40	23
44	"abdus salam international centre for theoretical physics, trieste, italy"	6	91	11
47	"academia sinica, institute of astronomy and astrophysics, taipei, taiwan"	13	354	180
51	"academia sinica, institute of earth sciences, taipei, taiwan"	5	290	9
61	"academy of cryptography techniques, hanoi, viet nam"	7	141	11
64	"academy of finance, hanoi, viet nam"	6	324	8
90	"adaptive systems laboratory, the university of aizu, aizuwakamatsu, japan"	9	95	11
113	"advanced institute of science and technology, university of danang, da nang, viet nam"	5	51	12
118	"advanced materials and structures laboratory, vietnam national university, hanoi, hanoi, viet nam"	10	610	31
122	"advanced preventive medical sciences research center, kanazawa university, kanazawa, japan"	13	67	115
126	"advanced science research center, japan atomic energy agency, kashiwa, japan"	12	290	139
163	"agricultural genetics institute, hanoi, viet nam"	50	1221	143
164	"agricultural genetics institute, national key laboratory for plant cell biotechnology, hanoi, viet nam"	5	164	19
165	"agricultural genetics institute, vietnam academy of agricultural sciences, hanoi, viet nam"	9	151	34
166	"agricultural genetics institute, vietnam academy of social sciences, hanoi, viet nam"	11	358	76
167	"agricultural genetics institute, vietnamese academy of agricultural science, hanoi, viet nam"	8	909	16
168	"agricultural genetics institute, vietnamese academy of forest sciences, hanoi, viet nam"	6	1043	19
195	"aids clinical center, national center for global health and medicine, tokyo, japan"	25	314	67
206	"aino health research center, aino university, ibaraki, japan"	5	124	16
207	"aino university, ibaraki, japan"	5	58	16
222	"akita university, akita, japan"	5	48	15
230	"alfred i. dupont hospital for children, wilmington, united states"	5	146	6
261	"american university of the caribbean school of medicine, sint maarten, netherlands"	6	22	36
266	"amfar - the foundation for aids research, bangkok, thailand"	14	218	273
317	"animal production and grassland division, japan international research center for agricultural sciences, tsukuba, japan"	7	82	9
346	"applied physics laboratory, ton-duc-thang university, ho chi minh city, viet nam"	6	59	22
366	"arena research for sustainable resources, graz, austria"	5	59	20
369	"arid land research center, tottori university, tottori, japan"	9	705	31
407	"asian development bank institute, tokyo, japan"	16	200	13
412	"asian institute of technology thailand, khlong luang, thailand"	9	148	14
413	"asian natural environmental science center, the university of tokyo, tokyo, japan"	9	221	12
418	"asian school of the environment, singapore city, singapore"	7	333	23
420	"aska pharmaceutical co., ltd., tokyo, japan"	6	112	31
435	"astrazeneca, cambridge, united kingdom"	18	3986	100
444	"atmosphere and ocean research institute, the university of tokyo, tokyo, japan"	5	90	13
446	"atomic molecular and optical physics research group, ton-duc-thang university, ho chi minh city, viet nam"	8	51	22
450	"atrium innovation ltd., wallingford, united kingdom"	8	212	27
467	"avian influenza research centre, kyoto sangyo university, kyoto, japan"	6	78	27
468	"avian zoonosis research center, faculty of agriculture, tottori university, tottori, japan"	6	104	28
481	"bach mai hospital, hanoi, viet nam"	72	1370	668
489	"badan pengkajian dan penerapan teknologi, central jakarta, indonesia"	5	337	26
503	"banking academy of vietnam, hanoi, viet nam"	10	125	15
505	"banking university of ho chi minh city, ho chi minh city, viet nam"	77	579	164
536	"beijing ditan hospital capital medical university, beijing, china"	27	364	526
565	"bio-innovation research center, tokushima university, tokushima, japan"	7	28	24
576	"biodiversity division, national institute for environmental studies of japan, tsukuba, japan"	6	9	26
583	"biodosimetry group, nuclear research institute, dalat city, viet nam"	5	17	35
597	"biological resources and post-harvest division, japan international research center for agricultural sciences, tsukuba, japan"	5	257	12
612	"biomedical and pharmaceutical research center, vietnam military medical university, hanoi, viet nam"	24	661	73
620	"biomedical research institute, national institute of advanced industrial science and technology, tsukuba, japan"	6	118	15
628	"bioproduction research institute, national institute of advanced industrial science and technology, tsukuba, japan"	8	105	29
629	"bioproductivity informatics research team, riken center for sustainable resource science, yokohama, japan"	10	143	74
