"document","SDG-07","SDG-06","SDG-03","SDG-08","SDG-13","SDG-10","SDG-05","SDG-15","SDG-02","SDG-01","SDG-04","SDG-11","SDG-14","SDG-12","SDG-16","SDG-09","SDG-17"
"1",1644,,,,,,,,,,,,,,,,
"3",1645,,,,,,,,,,,,,,,,
"6",,1157,,,,,,,,,,,,,,,
"8",1646,,,,,,,,,,,,,,,,
"14",,,257,,,,,,,,,,,,,,
"15",,,258,,,,,,,,,,,,,,
"17",,,,2321,,,,,,,,,,,,,
"22",1647,,,,3024,,,,,,,,,,,,
"28",1648,,,,,,,,,,,,,,,,
"30",1649,,,,,,,,,,,,,,,,
"31",,,,2322,,,,,,,,,,,,,
"35",,,,,3025,,,,,,,,,,,,
"36",,,,,,2613,,,,,,,,,,,
"43",,,259,,,,,,,,,,,,,,
"45",,,,,3026,,,,,,,,,,,,
"46",,,260,,,,1105,,,,,,,,,,
"47",,1158,,,3027,,,,,,,,,,,,
"50",,,,,,,1106,,,,,,,,,,
"51",1650,,,,,,,,,,,,,,,,
"53",,,261,,,,,,,,,,,,,,
"54",1651,,,,,,,,,,,,,,,,
"56",,,,,,,,3524,,,,,,,,,
"60",,,,,,,,3525,,,,,,,,,
"61",,,,,,,,,53,,,,,,,,
"64",,1159,,,,,,,,,,,,,,,
"65",,,262,,,,,,,,,,,,,,
"66",,,263,,,,,,,,,,,,,,
"68",,,,,3028,,,3526,,,,,,,,,
"69",,,,2323,3029,2614,1107,3527,,,,,,,,,
"70",1652,,,,,,,,,1,,,,,,,
"74",,,,,,,,,,,1051,,,,,,
"77",1653,,,,,,,,,,,,,,,,
"78",1654,,,,,,,,,,,,,,,,
"81",,,264,,,,,,,,,,,,,,
"83",,,,2324,,,,,,,,,,,,,
"85",,,265,,,,,,,,,,,,,,
"88",,,,,,,,,54,,,,,,,,
"90",,,266,,,,,,,,,,,,,,
"91",,,,,,,,3528,,,,,,,,,
"98",,,,,,2615,,,,,,,,,,,
"100",,,,,3030,,,,,,,,,,,,
"101",,,267,,,,,,,,,,,,,,
"102",,,,,3031,,,3529,,,,,,,,,
"110",,1160,,,,,,,,,,,,,,,
"119",,,268,,,,,,,,,,,,,,
"122",,1161,269,,,,,,,,,,,,,,
"123",1655,,,,,,,,,,,,,,,,
"126",,,,,3032,,,,,,,,,,,,
"129",1656,,,,,,,,,,,,,,,,
"130",1657,,,,3033,,,,,,,,,,,,
"132",1658,,,,,,,,,,,,,,,,
"141",,,,,3034,,,,,,,2737,,,,,
"145",,1162,,,,,,,,,,,3390,,,,
"147",,,270,,,,,,,,,,,,,,
"148",1659,,,2325,,,,,,,,,,,,,
"152",1660,,,,,,,,,2,,2738,,2872,,,
"153",,1163,,,3035,,,,,,,,,,,,
"156",,,271,,,,,,,,,,,,,,
"159",1661,,,,,,,,,,,,,,,,
"163",1662,,,,,,,,,,,,,,,,
"170",1663,,,,,,,,,,,,,,,,
"171",,,272,,,2616,,,,,,,,,,,
"172",,1164,,,3036,,,,,,,,,,,,
"176",1664,,,,,,,,,,,,,,,,
"177",,,,2326,,,1108,,,,1052,,,,3754,,
"179",1665,,,,3037,,,,,,,,,,,,
"188",1666,,,,,,,,,,,,,,,,
"190",,1165,,,3038,,,,,,,,,,,,
"192",1667,,,,,,,,,3,,,,,,,
"195",,,273,,,,,,,,,,,,,,
"201",1668,,,,,,,,,,,,,,,,
"208",,,,,,,,3530,,,1053,,,,,,
"209",,,,,,,1109,,,,,,,,,,
"212",,,,,,,,3531,,,,,,,,,
"217",1669,,,,,,,,,,,,,2873,,2523,
"218",,1166,,,3039,,,,,,,,,,,,
"219",,,274,,,,,,,,,,,,,,
"220",1670,,,,3040,,,,,,,,,,,,
"223",,,,,3041,,,,,,,,,,,,
"228",1671,,,,,,,,,,,,,,,,
"229",,,275,,3042,,,,,,,2739,,,,,
"231",,,276,,,,,,,,,,,,,,
"232",,,,,,,,,,,,,,2874,,,
"234",,,277,,,,1110,,,,,2740,,,,,
"236",,,,,,,,,,,,2741,,,,,
"238",,,278,,,,,,,,,,,,,,
"241",,1167,,,,,,,,,,,,,,,
"243",,,,,,2617,,,,,,,,,,,
"252",,1168,,,,,,,,,,,,,,,
"254",,,279,,,,,3532,,,,,,,,,
"256",,,280,,,,,,,,,,,,,,
"260",1672,,,,,,,,,,,,,,,,
"265",,,,2327,,,,,,,,,,,,,
"272",,,,,,,,,55,,,,,2875,,,
"273",,,281,,,,,,,,,,,,,,
"278",1673,,,,,,,,,,,,,,,,
"293",,,282,,,,,,,,,,,,,,
"296",,,,2328,,,,,,,,,,,,,
"301",,1169,,,,,,3533,,,,,3391,,,,
"305",,,283,,,,,,,,,,,,,,
"306",,,,,,,,3534,,,,,,,,,
"309",,,,,,,,,,,,,,2876,,,
"311",,,284,,,,,,,,,,,,,,
"322",,,,,,,,,56,,,,,,,,
"326",,1170,,,3043,,,3535,,,,,,,,,
"339",,1171,,,,,,3536,57,,,,,,,,
"342",,,,2329,,2618,,,,4,,,,,,,
"346",,,285,,,,,,,,,,,,3755,,
"347",,,,,,,,,,,,,,2877,,,
"349",1674,,,,3044,,,3537,,,,,3392,,,,
"350",1675,,,,,,,,,,,,,,,,
"351",,,286,,,,,,,,,,,,,,
"353",,,287,,,,,,,,,,,,,,
"356",,,288,,,,,,,,,,,,,,
"363",,,,,3045,,,,,,,,,,,,
"366",,,289,,,,,,,,,,,,,,
"378",,,,,3046,,,,,,,,,,,,
"380",,,290,,,,,,,,,,,,,,
"381",,,,,3047,,,,,,,,,,,,
"383",,,291,,,,,,,,,,,,,,
"388",,,,,3048,,,,,,,2742,,,,,
"390",,1172,,,,,,,,,,,,,,,
"392",,1173,,,,,,,,,,,,,,,
"393",,,292,,,2619,,,,,,,,,,,
"395",,,,,3049,,,,,,,,,,,,
"401",1676,,,,,,,,58,,,,,,,,
"405",,,,,,,,,,,,2743,,,,,
"410",,,,,3050,,,,59,,,,,,,,
"413",,,,,,,,,,,,,3393,,,,
"414",,,,,,2620,,,,,,,,,,,
"421",1677,,,,,,,,,,,,,,,,
"422",1678,,,,,,,,,,,2744,,,,,
"427",1679,,,,,,,,,,,,,,,,
"440",1680,,,,,,,,,,,,,,,,
"448",1681,,,,,,,,,,,,,,,,
"451",,,293,,,,,,,,,,,,,,
"452",,,294,,3051,,,,,,,,,,,,
"453",,,295,,,,,,,,,,,,,,
"454",,,296,,,,,,,,,,,,,,
"455",,,297,,,,,,,,,,,,,,
"456",,,298,,,,1111,,,,,,,,,,
"458",1682,,,,,,,,,,,,,,,,
"460",1683,,,,3052,,,,,,,,,,,,
"461",1684,,,,3053,,,,,,,,,,,,
"465",,,,,3054,,,,,,,2745,,,,,
"468",,1174,,,,,,,,,,,,,,,
"470",1685,,,,,,,,,5,,,,,,,
"472",,,299,,,,,,,,,,,,,,
"474",,,300,,,2621,1112,,,,,,,,,,
"475",,,301,,,,,,,,,,,,,,
"480",,,,,3055,,,,,,,,,,,,
"484",1686,,,2330,,,,,,,,,,,,,
"485",,,,,,,,,,,,,,,,2524,
"491",,,,,3056,,,,,,,,,,,,
"493",1687,,,,,,,,,,,,,,,,
"496",,,302,,,,,,,,,,,,,,
"506",1688,,,,,,,,,,,,,,,,
"508",,,303,,,,,,,,,,,,,,
"509",,,,,,,,,,,,2746,,,,,
"510",,1175,,,,,,,,,,,,,,,
"511",,,304,,,,,,,,,,,,,,
"513",,,305,,,,,,,,,,,,,,
"515",,,,,,,,,,,,,,2878,,,
"518",,,306,,,,,,,,,,,,,,
"519",,1176,,,3057,,,,60,,,,,,,,
"520",,,307,,,,,,,,,,,,,,
"521",,,,,3058,,,3538,,,,,3394,,,,
"522",,,308,,,,,,,,,,,,,,
"524",,,,2331,,,,,,,,,,,,2525,
"528",1689,,,,,,,,,,,,,,,,
"533",,,,,3059,2622,1113,,,,,2747,,,,,
"534",,,,,3060,,,,61,,,,,,,,
"541",,,309,,,,,,,,,,,,,,
"555",,,,,3061,,,,,,,,,,,,
"560",,1177,,,3062,,,,,,,,,,,,
"561",,,,,,,,,,,1054,,,,3756,,
"566",,,310,,,,,,,,,,,,,,
"569",,,,,,,,,,,,,3395,,,,
"571",1690,,,,,,,,,,,,,,,,
"573",,,311,,,,,,,,,,,,,,
"576",1691,,,,,,,,,,,,,,,,
"581",,,312,,,,,,,,,,,,,,
"583",,,313,,,,,,,,,,,,,,
"594",,1178,,,,,,,,,,,,,,,
"596",,,,,3063,,,,,,,,,,,,
"597",1692,,,,,,,,62,,,,,,,,
"598",,1179,,,,,,,,,,,,,,,
"605",,,,,,,,,,,,,3396,,,,
"614",,1180,,,,,,,,,,,,,,,
"615",,,,,3064,,,,63,,,,,,,,
"617",1693,,,,,,,,,,,,,,,,
"620",,,314,,,,,,,,,,,,,,
"627",,1181,,,3065,,,,,,,,,,,,
"629",,,,,3066,,,3539,,,,,,,,,
"630",,,,,3067,,,,,,,,3397,,,,
"634",1694,,,,,,,,,,,,,,,,
"640",,,315,,,,,,,,,,,,,,
"644",,,316,,,,,,,,,,,,,,
"646",,,317,,,,,,,,,,,,,,
"663",,,318,,,,,,,,,,,,,,
"671",,,,,,,,,,,,,,2879,,,
"676",1695,,,,,2623,,,,6,,,,,,,
"677",,,,,,,,,,,1055,,,,,,
"679",,,,,,,,,,,,,3398,,,,
"690",1696,,,,,,,,,,,,,,,,
"691",,1182,,,,,,,,,,,,,,,
"700",,,,,3068,,,3540,,,,,,,,,
"701",,,,2332,,,,,,,,,,,,,
"716",1697,,,,,,,,,,,,,,,,
"719",,1183,,,,,,,64,,,,,,,,
"722",1698,,,,,,,,,,,,,,,,
"723",,,319,,,,,,,,,,,,,,
"737",,,320,,,,,,,,,,,,,,
"738",1699,,,,,,,,,,,,,,,,
"739",,1184,,,,,,,,,,,,,,,
"743",,,,,,,,,,,,2748,,,,,
"745",,1185,,,3069,,,,65,,,,,,,,
"746",,,,,,,,,,,,,3399,,,,
"747",,,,,,,,,,7,,,,,,,
"755",,,,,,,,3541,,,,,,,,,
"761",,,,,,,,,,,,,,,,,3774
"771",,,,,,,,,,,,,,,,2526,
"773",,,,,,,,,66,,,,,,,,
"774",,1186,,,,,,,,,,,,,,,
"775",,,,,,2624,,,,,,,,,,,
"777",,,,2333,,2625,1114,,,,,,,,,,
