label	replace by
10-80 division, hanoi medical university, hanoi, viet nam	HANOI MEDICAL UNIVERSITY
academia sinica, institute of astronomy and astrophysics, taipei, taiwan	INSTITUTE OF ASTRONOMY AND ASTROPHYSICS
advanced materials and structures laboratory, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
advanced preventive medical sciences research center, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
advanced science research center, japan atomic energy agency, kashiwa, japan	ADVANCED SCIENCE RESEARCH CENTER
agricultural genetics institute, hanoi, viet nam	AGRICULTURAL GENETICS INSTITUTE
agricultural genetics institute, vietnam academy of social sciences, hanoi, viet nam	AGRICULTURAL GENETICS INSTITUTE
aids clinical center, national center for global health and medicine, tokyo, japan	NATIONAL CENTER FOR GLOBAL HEALTH AND MEDICINE
amfar - the foundation for aids research, bangkok, thailand	THE FOUNDATION FOR AIDS RESEARCH
asian development bank institute, tokyo, japan	ASIAN DEVELOPMENT BANK INSTITUTE
bach mai hospital, hanoi, viet nam	BACH MAI HOSPITAL
banking academy of vietnam, hanoi, viet nam	HANOI
banking university of ho chi minh city, ho chi minh city, viet nam	HO CHI MINH CITY
beijing ditan hospital capital medical university, beijing, china	CAPITAL MEDICAL UNIVERSITY
biomedical and pharmaceutical research center, vietnam military medical university, hanoi, viet nam	VIETNAM MILITARY MEDICAL UNIVERSITY
bioproductivity informatics research team, riken center for sustainable resource science, yokohama, japan	RIKEN CENTER FOR SUSTAINABLE RESOURCE SCIENCE
biotechnology center of ho chi minh city, ho chi minh city, viet nam	HO CHI MINH CITY
biotechnology research and development institute, can tho university, can tho, viet nam	CAN THO UNIVERSITY
bureau of international health cooperation, national center for global health and medicine, tokyo, japan	NATIONAL CENTER FOR GLOBAL HEALTH AND MEDICINE
can tho university, can tho, viet nam	CAN THO UNIVERSITY
cancer research laboratory, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF SCIENCE
center for agricultural innovation, vietnam national university of agriculture, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
center for agricultural research and ecological studies (cares), vietnam national university of agriculture, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
center for aids research, kumamoto university, kumamoto, japan	KUMAMOTO UNIVERSITY
center for animal disease control, university of miyazaki, miyazaki, japan	UNIVERSITY OF MIYAZAKI
center for asian conservation ecology, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
center for atomic and molecular technologies, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
center for computational sciences, university of tsukuba, tsukuba, japan	UNIVERSITY OF TSUKUBA
center for environmental technology and sustainable development (cetasd), vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
center for infectious disease research in asia and africa, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
center for informatics and computation in astronomy, national tsing hua university, hsinchu, taiwan	NATIONAL TSING HUA UNIVERSITY
center for innovative materials and architectures (inomar), ho chi minh city, viet nam	HO CHI MINH CITY
center for innovative materials and architectures (inomar), viet nam national university ho chi minh city, ho chi minh city, viet nam	VIET NAM NATIONAL UNIVERSITY HO CHI MINH CITY
center for innovative materials and architectures, ho chi minh city, viet nam	HO CHI MINH CITY
center for international collaborative research, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
center for marine environmental studies, ehime university, matsuyama, japan	EHIME UNIVERSITY
center for material cycles and waste management research, national institute for environmental studies of japan, tsukuba, japan	NATIONAL INSTITUTE FOR ENVIRONMENTAL STUDIES OF JAPAN
center for molecular biomedicine, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam	UNIVERSITY OF MEDICINE AND PHARMACY AT HCMC
center for nuclear study, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
center for nuclear techniques, vietnam atomic energy institute, hanoi, viet nam	VIETNAM ATOMIC ENERGY INSTITUTE
center for research and technology transfer, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
center for southeast asian studies, kyoto university, kyoto, japan	KYOTO UNIVERSITY
center of advanced technology for the environment, ehime university, matsuyama, japan	EHIME UNIVERSITY
centre for environmental technology and sustainable development (cetasd), vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
centre for interdisciplinary social research, phenikaa university, hanoi, viet nam	PHENIKAA UNIVERSITY
centre for theoretical chemistry and physics, massey university auckland, auckland, new zealand	MASSEY UNIVERSITY AUCKLAND
ceramics and biomaterials research group, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
chiangrai prachanukroh hospital, chiang rai, thailand	CHIANGRAI PRACHANUKROH HOSPITAL
chiba university, chiba, japan	CHIBA UNIVERSITY
children's hospital 2, ho chi minh city, viet nam	HO CHI MINH CITY
children's hospital no. 1, ho chi minh city, viet nam	HO CHI MINH CITY
cho ray hospital, ho chi minh city, viet nam	CHO RAY HOSPITAL
civil and environmental engineering program, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
college of agriculture, can tho university, can tho, viet nam	CAN THO UNIVERSITY
college of aquaculture and fisheries, can tho university, can tho, viet nam	CAN THO UNIVERSITY
college of engineering and computer science, vinuniversity, hanoi, viet nam	VINUNIVERSITY
college of engineering technology, can tho university, can tho, viet nam	CAN THO UNIVERSITY
college of environment and natural resources, can tho university, can tho, viet nam	CAN THO UNIVERSITY
college of natural sciences, can tho university, can tho, viet nam	CAN THO UNIVERSITY
college of systems engineering and science, shibaura institute of technology, tokyo, japan	SHIBAURA INSTITUTE OF TECHNOLOGY
college of veterinary medicine, seoul national university, seoul, south korea	SEOUL NATIONAL UNIVERSITY
commonwealth scientific and industrial research organisation, canberra, australia	COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION
community medicine support dentistry, ohu university, koriyama, japan	JAPAN
computational astrophysics laboratory, riken, wako, japan	COMPUTATIONAL ASTROPHYSICS LABORATORY
computer communications laboratory, the university of aizu, aizuwakamatsu, japan	THE UNIVERSITY OF AIZU
cuu long delta rice research institute, can tho, viet nam	CUU LONG DELTA RICE RESEARCH INSTITUTE
dai nam university, hanoi, viet nam	HANOI
dalian university of technology, dalian, china	DALIAN UNIVERSITY OF TECHNOLOGY
de la salle university, manila, philippines	DE LA SALLE UNIVERSITY
department for management of science and technology development, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
department of agricultural and resource economics, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of agro-environmental sciences, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of animal health, ministry of agriculture and rural development, hanoi, viet nam	DEPARTMENT OF ANIMAL HEALTH
department of applied biological science, kagawa university, takamatsu, japan	KAGAWA UNIVERSITY
department of applied biology, kyoto institute of technology, kyoto, japan	KYOTO INSTITUTE OF TECHNOLOGY
department of applied chemistry, national chiao tung university, hsinchu, taiwan	NATIONAL CHIAO TUNG UNIVERSITY
department of applied chemistry, osaka metropolitan university, osaka, japan	OSAKA METROPOLITAN UNIVERSITY
department of applied chemistry, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
department of applied physics and chemistry, the university of electro-communications, chofu, japan	THE UNIVERSITY OF ELECTRO-COMMUNICATIONS
department of applied physics, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
department of architecture and civil engineering, toyohashi university of technology, toyohashi, japan	TOYOHASHI UNIVERSITY OF TECHNOLOGY
department of architecture, nihon university, tokyo, japan	NIHON UNIVERSITY
department of astronomy, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
department of astronomy, university of illinois urbana-champaign, urbana, united states	UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN
department of astrophysics, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
department of bacteriology i, national institute of infectious diseases, tokyo, japan	NATIONAL INSTITUTE OF INFECTIOUS DISEASES
department of bacteriology, national institute of hygiene and epidemiology hanoi, hanoi, viet nam	NATIONAL INSTITUTE OF HYGIENE AND EPIDEMIOLOGY HANOI
department of bacteriology, national institute of hygiene and epidemiology, hanoi, viet nam	NATIONAL INSTITUTE OF HYGIENE AND EPIDEMIOLOGY
department of biochemistry and molecular biology, gazipur agricultural university, gazipur, bangladesh	GAZIPUR AGRICULTURAL UNIVERSITY
department of bioinformatics and genomics, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
department of biological sciences, national university of singapore, singapore city, singapore	NATIONAL UNIVERSITY OF SINGAPORE
department of biological sciences, tokyo metropolitan university, hachioji, japan	TOKYO METROPOLITAN UNIVERSITY
department of biology, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of biology, chiba university, chiba, japan	CHIBA UNIVERSITY
department of biomolecular engineering, kyoto institute of technology, kyoto, japan	KYOTO INSTITUTE OF TECHNOLOGY
department of bioresource sciences, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of bioscience and biotechnology, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of botany and microbiology, college of sciences, riyadh, saudi arabia	COLLEGE OF SCIENCES
department of botany, faculty of science, aswan, egypt	FACULTY OF SCIENCE
