"SO","Freq"
"",1124
"LECTURE NOTES IN COMPUTER SCIENCE",144
"SCIENTIFIC REPORTS",144
"PLOS ONE",126
"IEEE ACCESS",103
"JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY",100
"LECTURE NOTES IN CIVIL ENGINEERING",95
"SCIENCE OF THE TOTAL ENVIRONMENT",82
"THE LANCET",79
"INTERNATIONAL CONFERENCE ON ADVANCED TECHNOLOGIES FOR COMMUNICATIONS",62
"APPLIED SCIENCES (SWITZERLAND)",58
"JOURNAL OF VETERINARY MEDICAL SCIENCE",56
"SUSTAINABILITY (SWITZERLAND)",54
"CHEMOSPHERE",52
"ZOOTAXA",50
"PHYSICAL REVIEW C",47
"PHYTOTAXA",43
"PHYSICAL REVIEW C - NUCLEAR PHYSICS",42
"ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES",40
"JOURNAL OF PHYSICS: CONFERENCE SERIES",38
"PHYSICAL REVIEW LETTERS",37
"ASTROPHYSICAL JOURNAL",36
"ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",36
"WATER (SWITZERLAND)",36
"COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE",35
"RSC ADVANCES",35
"AIP CONFERENCE PROCEEDINGS",34
"JAPANESE JOURNAL OF APPLIED PHYSICS PART 2: LETTERS",34
"ANIMAL SCIENCE JOURNAL",32
"ENVIRONMENTAL POLLUTION",32
"PHYSICAL REVIEW D",32
"PHYSICS LETTERS SECTION B: NUCLEAR ELEMENTARY PARTICLE AND HIGH-ENERGY PHYSICS",32
"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH",31
"IOP CONFERENCE SERIES: EARTH AND ENVIRONMENTAL SCIENCE",31
"LECTURE NOTES IN MECHANICAL ENGINEERING",31
"JAPAN AGRICULTURAL RESEARCH QUARTERLY",30
"NATURE COMMUNICATIONS",30
"JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT",29
"CONSTRUCTION AND BUILDING MATERIALS",28
"FISHERIES SCIENCE",28
"JOURNAL OF MEDICAL VIROLOGY",28
"SENSORS",28
"CHEMICAL AND PHARMACEUTICAL BULLETIN",27
"LECTURE NOTES IN NETWORKS AND SYSTEMS",27
"SOIL SCIENCE AND PLANT NUTRITION",27
"ARCHIVES OF VIROLOGY",26
"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING",26
"TROPICAL MEDICINE AND HEALTH",26
"BREEDING SCIENCE",25
"PHYSICAL CHEMISTRY CHEMICAL PHYSICS",25
"PHYSICAL REVIEW A - ATOMIC MOLECULAR AND OPTICAL PHYSICS",25
"ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING",24
"BMC INFECTIOUS DISEASES",24
"COMPOSITE STRUCTURES",24
"IEICE TRANSACTIONS ON COMMUNICATIONS",24
"INFORMATION SCIENCES",24
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES",24
"MATERIALS TRANSACTIONS",23
"APPLIED PHYSICS LETTERS",22
"CEUR WORKSHOP PROCEEDINGS",22
"ENVIRONMENTAL SCIENCE AND TECHNOLOGY",22
"INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING INFORMATION AND CONTROL",22
"JOURNAL OF ALLOYS AND COMPOUNDS",22
"JOURNAL OF VIROLOGY",22
"KNOWLEDGE-BASED SYSTEMS",22
"NATURE",22
"IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS",21
"INTERNATIONAL JOURNAL OF GEOMATE",21
"PROCEEDINGS - INTERNATIONAL CONFERENCE ON KNOWLEDGE AND SYSTEMS ENGINEERING KSE",21
"PROCEEDINGS OF SCIENCE",21
"JAPANESE JOURNAL OF INFECTIOUS DISEASES",20
"JOURNAL OF ASIAN EARTH SCIENCES",20
"JOURNAL OF PHYSICAL CHEMISTRY C",20
"MOLECULES",20
"NATURAL PRODUCT RESEARCH",20
"PARASITOLOGY INTERNATIONAL",20
"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",20
