id	organization	documents	citations	total link strength
5	"10-80 division, hanoi medical university, hanoi, viet nam"	11	175	34
47	"academia sinica, institute of astronomy and astrophysics, taipei, taiwan"	13	354	158
118	"advanced materials and structures laboratory, vietnam national university, hanoi, hanoi, viet nam"	10	610	21
122	"advanced preventive medical sciences research center, kanazawa university, kanazawa, japan"	13	67	87
126	"advanced science research center, japan atomic energy agency, kashiwa, japan"	12	290	110
163	"agricultural genetics institute, hanoi, viet nam"	50	1221	110
166	"agricultural genetics institute, vietnam academy of social sciences, hanoi, viet nam"	11	358	56
195	"aids clinical center, national center for global health and medicine, tokyo, japan"	25	314	55
266	"amfar - the foundation for aids research, bangkok, thailand"	14	218	248
406	"asian development bank institute, tokyo, japan"	16	200	3
434	"astrazeneca, cambridge, united kingdom"	18	3986	25
480	"bach mai hospital, hanoi, viet nam"	72	1370	560
502	"banking academy of vietnam, hanoi, viet nam"	10	125	14
504	"banking university of ho chi minh city, ho chi minh city, viet nam"	77	579	145
535	"beijing ditan hospital capital medical university, beijing, china"	27	364	479
611	"biomedical and pharmaceutical research center, vietnam military medical university, hanoi, viet nam"	24	661	49
628	"bioproductivity informatics research team, riken center for sustainable resource science, yokohama, japan"	10	143	51
651	"biotechnology center of ho chi minh city, ho chi minh city, viet nam"	13	120	21
657	"biotechnology research and development institute, can tho university, can tho, viet nam"	10	249	11
715	"bureau of international health cooperation, national center for global health and medicine, tokyo, japan"	24	237	63
758	"can tho university, can tho, viet nam"	22	402	31
767	"cancer research laboratory, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	12	179	32
831	"center for agricultural innovation, vietnam national university of agriculture, hanoi, viet nam"	11	100	32
833	"center for agricultural research and ecological studies (cares), vietnam national university of agriculture, hanoi, viet nam"	13	658	17
837	"center for aids research, kumamoto university, kumamoto, japan"	14	135	30
840	"center for animal disease control, university of miyazaki, miyazaki, japan"	22	203	55
847	"center for asian conservation ecology, kyushu university, fukuoka, japan"	29	218	55
851	"center for atomic and molecular technologies, the university of osaka, suita, japan"	11	226	20
886	"center for computational sciences, university of tsukuba, tsukuba, japan"	11	252	18
924	"center for environmental technology and sustainable development (cetasd), vietnam national university, hanoi, hanoi, viet nam"	23	1771	44
963	"center for infectious disease research in asia and africa, nagasaki university, nagasaki, japan"	18	340	37
966	"center for informatics and computation in astronomy, national tsing hua university, hsinchu, taiwan"	11	299	175
971	"center for innovative materials and architectures (inomar), ho chi minh city, viet nam"	10	229	35
972	"center for innovative materials and architectures (inomar), viet nam national university ho chi minh city, ho chi minh city, viet nam"	13	358	21
974	"center for innovative materials and architectures, ho chi minh city, viet nam"	14	161	54
981	"center for international collaborative research, nagasaki university, nagasaki, japan"	16	830	47
998	"center for marine environmental studies, ehime university, matsuyama, japan"	108	6678	227
999	"center for material cycles and waste management research, national institute for environmental studies of japan, tsukuba, japan"	42	2455	93
1015	"center for molecular biomedicine, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	10	116	10
1029	"center for nuclear study, the university of tokyo, tokyo, japan"	23	618	209
1031	"center for nuclear techniques, vietnam atomic energy institute, hanoi, viet nam"	11	152	25
1065	"center for research and technology transfer, vietnam academy of science and technology, hanoi, viet nam"	18	410	54
1076	"center for southeast asian studies, kyoto university, kyoto, japan"	30	1069	52
1111	"center of advanced technology for the environment, ehime university, matsuyama, japan"	34	1412	101
1254	"centre for environmental technology and sustainable development (cetasd), vietnam national university, hanoi, hanoi, viet nam"	29	1952	74
1267	"centre for interdisciplinary social research, phenikaa university, hanoi, viet nam"	40	1087	67
1305	"centre for theoretical chemistry and physics, massey university auckland, auckland, new zealand"	16	163	45
1346	"ceramics and biomaterials research group, ton-duc-thang university, ho chi minh city, viet nam"	13	281	34
1391	"chiangrai prachanukroh hospital, chiang rai, thailand"	26	327	461
1396	"chiba university, chiba, japan"	28	383	36
1399	"children's hospital 2, ho chi minh city, viet nam"	11	245	28
1400	"children's hospital no. 1, ho chi minh city, viet nam"	12	488	21
1423	"cho ray hospital, ho chi minh city, viet nam"	20	298	54
1456	"civil and environmental engineering program, hiroshima university, higashihiroshima, japan"	53	2015	83
1542	"college of agriculture, can tho university, can tho, viet nam"	25	1306	33
1552	"college of aquaculture and fisheries, can tho university, can tho, viet nam"	77	1168	86
1593	"college of engineering and computer science, vinuniversity, hanoi, viet nam"	13	90	15
1595	"college of engineering technology, can tho university, can tho, viet nam"	11	220	20
1610	"college of environment and natural resources, can tho university, can tho, viet nam"	33	434	46
1710	"college of natural sciences, can tho university, can tho, viet nam"	10	85	15
1764	"college of systems engineering and science, shibaura institute of technology, tokyo, japan"	12	94	18
1774	"college of veterinary medicine, seoul national university, seoul, south korea"	10	165	23
1791	"commonwealth scientific and industrial research organisation, canberra, australia"	11	505	13
1795	"community medicine support dentistry, ohu university, koriyama, japan"	13	45	88
1809	"computational astrophysics laboratory, riken, wako, japan"	11	62	13
1820	"computer communications laboratory, the university of aizu, aizuwakamatsu, japan"	23	456	21
1933	"cuu long delta rice research institute, can tho, viet nam"	15	322	23
1953	"dai nam university, hanoi, viet nam"	13	102	40
1970	"dalian university of technology, dalian, china"	10	739	21
1994	"de la salle university, manila, philippines"	12	2965	16
2029	"department for management of science and technology development, ton-duc-thang university, ho chi minh city, viet nam"	27	992	51
2072	"department of agricultural and resource economics, kyushu university, fukuoka, japan"	32	486	23
2114	"department of agro-environmental sciences, kyushu university, fukuoka, japan"	44	409	26
2255	"department of animal health, ministry of agriculture and rural development, hanoi, viet nam"	12	168	27
2320	"department of applied biological science, kagawa university, takamatsu, japan"	21	808	31
2329	"department of applied biology, kyoto institute of technology, kyoto, japan"	22	295	31
2350	"department of applied chemistry, national chiao tung university, hsinchu, taiwan"	10	218	9
2352	"department of applied chemistry, osaka metropolitan university, osaka, japan"	20	487	23
2353	"department of applied chemistry, the university of osaka, suita, japan"	15	301	7
2378	"department of applied physics and chemistry, the university of electro-communications, chofu, japan"	18	721	30
2385	"department of applied physics, the university of osaka, suita, japan"	12	331	17
2432	"department of architecture and civil engineering, toyohashi university of technology, toyohashi, japan"	15	154	14
2437	"department of architecture, nihon university, tokyo, japan"	13	281	6
2455	"department of astronomy, the university of tokyo, tokyo, japan"	16	336	187
2456	"department of astronomy, university of illinois urbana-champaign, urbana, united states"	11	299	175
2460	"department of astrophysics, vietnam academy of science and technology, hanoi, viet nam"	15	336	188
2474	"department of bacteriology i, national institute of infectious diseases, tokyo, japan"	16	253	24
2483	"department of bacteriology, national institute of hygiene and epidemiology hanoi, hanoi, viet nam"	23	383	57
2484	"department of bacteriology, national institute of hygiene and epidemiology, hanoi, viet nam"	14	125	26
2521	"department of biochemistry and molecular biology, gazipur agricultural university, gazipur, bangladesh"	16	1325	47
2574	"department of bioinformatics and genomics, kanazawa university, kanazawa, japan"	15	78	98
2608	"department of biological sciences, national university of singapore, singapore city, singapore"	11	469	27
2616	"department of biological sciences, tokyo metropolitan university, hachioji, japan"	31	261	42
2640	"department of biology, can tho university, can tho, viet nam"	15	203	15
2643	"department of biology, chiba university, chiba, japan"	11	220	25
2765	"department of biomolecular engineering, kyoto institute of technology, kyoto, japan"	13	188	22
2782	"department of bioresource sciences, kyushu university, fukuoka, japan"	10	46	8
2790	"department of bioscience and biotechnology, kyushu university, fukuoka, japan"	18	390	14
2859	"department of botany and microbiology, college of sciences, riyadh, saudi arabia"	11	810	11
2867	"department of botany, faculty of science, aswan, egypt"	18	1185	61
2897	"department of business and it, university of south-eastern norway, kongsberg, norway"	20	2179	65
2928	"department of cardiology, national heart centre singapore, singapore city, singapore"	10	171	27
3024	"department of chemical engineering, hanoi university of science and technology, hanoi, viet nam"	22	350	49
3025	"department of chemical engineering, institut teknologi bandung, bandung, indonesia"	15	289	22
3088	"department of chemistry, can tho university, can tho, viet nam"	17	161	19
3090	"department of chemistry, chulalongkorn university, bangkok, thailand"	11	120	21
3140	"department of chemistry, thammasat university, pathum thani, thailand"	15	357	14
3191	"department of civil & environmental engineering, hiroshima university, higashihiroshima, japan"	31	861	36
3192	"department of civil & environmental engineering, institute of science tokyo, tokyo, japan"	134	5551	269
3200	"department of civil & environmental engineering, nagaoka university of technology, nagaoka, japan"	53	2965	112
3215	"department of civil & environmental engineering, tokyo metropolitan university, hachioji, japan"	14	523	3
3221	"department of civil & environmental engineering, waseda university, tokyo, japan"	10	178	12
3240	"department of civil engineering, chulalongkorn university, bangkok, thailand"	21	404	27
3300	"department of civil engineering, the university of tokyo, tokyo, japan"	21	695	15
3301	"department of civil engineering, thuyloi university, hanoi, viet nam"	11	541	11
3302	"department of civil engineering, tohoku university, sendai, japan"	10	178	5
3310	"department of civil engineering, university of danang, da nang, viet nam"	18	120	17
3323	"department of civil engineering, yokohama national university, yokohama, japan"	13	386	17
3360	"department of clinical medicine, nagasaki university, nagasaki, japan"	27	989	83
3397	"department of clinical product development, nagasaki university, nagasaki, japan"	42	1229	193
3421	"department of community and global health, graduate school of medicine, tokyo, japan"	12	114	18
3448	"department of computer and network engineering, the university of electro-communications, chofu, japan"	18	189	6
3549	"department of crop sciences, can tho university, can tho, viet nam"	11	207	9
3585	"department of dermatology and venereology, hanoi medical university, hanoi, viet nam"	11	175	10
3621	"department of design of machinery and robot, hanoi university of science and technology, hanoi, viet nam"	10	171	11
3626	"department of development technology, hiroshima university, higashihiroshima, japan"	14	313	18
3631	"department of developmental medical sciences, graduate school of medicine, tokyo, japan"	22	666	28
3660	"department of disease control, graduate school of veterinary medicine, sapporo, japan"	16	307	48
3693	"department of earth science education, seoul national university, seoul, south korea"	11	299	175
3709	"department of earth sciences, yamaguchi university, yamaguchi, japan"	10	505	7
3775	"department of electrical and electronic engineering, institute of science tokyo, tokyo, japan"	18	810	51
3795	"department of electrical and electronic information engineering, toyohashi university of technology, toyohashi, japan"	10	602	17
3803	"department of electrical engineering and information systems, the university of tokyo, tokyo, japan"	14	305	36
3813	"department of electrical engineering, hanoi university of science and technology, hanoi, viet nam"	13	130	13
3826	"department of electrical engineering, shibaura institute of technology, tokyo, japan"	18	216	20
3842	"department of electrical, gifu university, gifu, japan"	11	155	11
3933	"department of endoscopy, cho ray hospital, ho chi minh city, viet nam"	19	436	29
3974	"department of engineering mechanics, hohai university, nanjing, china"	52	2691	138
4028	"department of environment and energy systems, shizuoka university, shizuoka, japan"	10	124	7
4053	"department of environmental and preventive medicine, oita university faculty of medicine, yufu, japan"	27	771	38
4078	"department of environmental engineering, daegu university, gyeongsan, south korea"	11	878	17
4089	"department of environmental engineering, kyoto university, kyoto, japan"	10	442	22
